rank,alpha,target_modules,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
Base,-,-,0,0.0,0.0,2.026888756752014,7.590433897366396
8,16,"q_proj,v_proj",1843200,3.9830051978429157,5.585375744,1.5898579359054565,4.903052331157146
16,32,"q_proj,v_proj",3686400,4.182228398323059,4.9835136,1.548030138015747,4.702198371680194
64,128,"q_proj,v_proj",14745600,4.037429896990458,6.365803008,1.546218752861023,4.693688588929036
16_all_layers,32,"q,k,v,o,gate,up,down",29933568,5.031871855258942,8.991630336,1.5718369483947754,4.8154858731543175
